author,year,intervention_name,scale_name,delay,paper_title,coder,lab_or_field,lab_field,program_name,publication_type,origin,setting,stage_in_life,mean_age,participant_sex,percent_of_male,percent_dominant_racial_or_ethnic_group,country,state,number_of_participant,type_of_control,intervention_description,brief_description_of_the_intervention,delivery_of_treatment,intervention_length,time_intervention_took,additional_contact,stated_purpose_of_the_intervention,intervention_description,stated_purpose,condition_gender,n_items,contains_randomization,partial_analysis,study_design,is_primary,scale_type,type_of_at_risk_population,n_conditions,n_c_pre,n_c_post,n_t_pre,n_t_post,n_t_group,n_c_group,cluster_type,eff_type,u_s_d,anticipated_direction,ctrl_sd,page_number,comments,d,var_d,se_d,checked,checker_comment,is_red,eliminiate,authors department/education in case belongs to center,lead author department/training,alex comments,
liu,2010,men creating attitudes for rape-free environments (men care),attitudes,365,A Study of a University-Based Men-Only Prevention Program (Men Care): Effect on Attitudes and Behaviors Related to Sexual Violence,Anne,1,lab,Men CARE,4,1,3,3,NA,1,100,70.9,USA,CA,901,4,0,"Men CARE is a men's-only program that focuses on prevention by targetting potential perpetrators. 20 male leaders, including students, administrators, and faculty, organized workshops and put together a campaign using posters on campus. Participants self-selected into the program . A description of the workshop is not provided",8,1,,0,"1,3",NA,"1,3",male,12,NA,NA,pre-post,FALSE,attitudes,-,1,,707,,95,not given,not given,n groups,t.test,1.9900,1,-,89,NA,0.22,0.01,0.11,,,Loading...,,,,,
liu,2010,men creating attitudes for rape-free environments (men care),behavior (perpetration),365,A Study of a University-Based Men-Only Prevention Program (Men Care): Effect on Attitudes and Behaviors Related to Sexual Violence,Anne,1,lab,Men CARE,4,1,3,3,NA,1,100,70.9,USA,CA,901,4,0,"Men CARE is a men's-only program that focuses on prevention by targetting potential perpetrators. 20 male leaders, including students, administrators, and faculty, organized workshops and put together a campaign using posters on campus. Participants self-selected into the program . A description of the workshop is not provided",8,1,,0,"1,3",NA,"1,3",male,4,NA,NA,pre-post,FALSE,behavior,-,1,,707,,95,not given,not given,n groups,d,0.0000,0,-,90,I intervene if female may be taken advantage; stop men from hitting on women when she doesn’t want; stop negative sexual comment; stop when asked,0.00,0.01,0.11,,"SETH: perpetration is our main outcome and there's no perp data recorded (the author says that there is no effect on that variable), but there is ""StandUp"" data reported as significant; but I think the average effect is probably zero across all. anyway for purposes of ""do attitudes predict behavior,"" I'll call it perp (the most important and the one the author would have foregrounded if there had been an effect)",Loading...,,,,,
nelson,2010,men united against family violence,knowledge,0,Eliciting behavior change in a US sexual violence and intimate partner violence prevention program through utilization of Freire and discussion facilitation,Arielle,1,lab,Hombres Unidos Contra La Violencia Familiar,1,1,"4,5",4,NA,1,100,0,USA,PA,157,4,0.5,discussions on experiences with sexual violence,5,5,,NA,"1,6",NA,"1,6",male,12,NA,NA,pre-post,FALSE,attitudes,-,1,,36,,157,3,3,n groups,t.test,2.2560,1,NA,6,NA,-1.93,0.63,0.79,,,Loading...,,,,,
nelson,2010,men united against family violence,knowledge,0,Eliciting behavior change in a US sexual violence and intimate partner violence prevention program through utilization of Freire and discussion facilitation,Arielle,1,lab,Hombres Unidos Contra La Violencia Familiar,1,1,"4,5",4,NA,1,100,0,USA,IL,157,4,0.5,discussions on experiences with sexual violence,5,5,,NA,"1,6",NA,"1,6",male,12,NA,NA,pre-post,FALSE,attitudes,-,1,,63,,157,3,3,n groups,t.test,3.2790,1,NA,6,NA,-1.93,0.63,0.79,,,Loading...,,,,,
nelson,2010,men united against family violence,knowledge,0,Eliciting behavior change in a US sexual violence and intimate partner violence prevention program through utilization of Freire and discussion facilitation,Arielle,1,lab,Hombres Unidos Contra La Violencia Familiar,1,1,"4,5",4,NA,1,100,0,USA,TX,157,4,0.5,discussions on experiences with sexual violence,5,5,,NA,"1,6",NA,"1,6",male,12,NA,NA,pre-post,FALSE,attitudes,-,1,,58,,157,3,3,n groups,t.test,7.6310,1,NA,6,NA,-1.93,0.63,0.79,,,Loading...,,,,,
Goforth,2010,mock rape trial,illinois rape myth acceptance scale,0,Examining Rape Myth Acceptance: Assessing a College's Proactive Program on Possible Student Retention,JH,0,lab,A Day In Court,4,2,3,3,NA,3,54,70.4,USA,North Carolina,260,1,1,coeducational mock rape trial,3,1,70 minutes,0,"1,2",?,"1,2,9",both,19,T,,quasi-experimental,TRUE,attitudes,-,2,-,140,-,120,17,17,cluster randomized,unspecified null,0.0000,0,0.8500,117,,,,,,,Loading...,,,,,
Kervin,2010,treatment ,"""A male can control his behavior...""",0,Youth Action Strategies in the Primary Prevention of Teen Dating Violence,JH,1,field,Youth Action Committee,1,2,2,2,NA,3,NA,NA,USA,Wisconsin,29,4,0.5,school-based youth-driven teen dating violence prevention project,"1,2,5",NA,NA,0,1,?,1,both,1,F,,pre-post,FALSE,attitudes,-,1,48,35,29,26,-,-,-,d.i.p,0.1700,1,0.4440,370,,,,,,,Loading...,,,,,
Rehmsmyer,2010,treatment,myths & beliefs,0,Sexual Assault Prevention Programs: Examining the Effects on Middle School Adolescents' Attitudes and Behaviors,JH,1,field,Teen Exchange,4,2,1,1,NA,3,NA,NA,USA,Kansas,1372,4,0.5,"multi-session school-based sexual violence prevention program. The program’s curriculum, usually 8 to 9 sessions with a culminating project, was designed around industry standards set by the federal government. Core topics of discussion include healthy relationships, sexual harassment, sexual assault, drug facilitated rape, dating violence, gender stereotypes (especially through media literacy), and seeking help and/or resources for youth and others",8,NA,NA,0,"1,3",?,"1,3",both,,F,,pre-post,F,attitudes,-,1,-,1372,-,1372,-,-,-,dim,0.0000,0,1.0000,53,,,,,,,Loading...,,,,,
Paul,2010,treatment and control,acceptance of rape myths,0,Incorporating Social Norms into Sexual Assault Interventions: Effects on Belief and Behavior Change Among College Men,JH,0,lab,NA,4,2,3,3,19.71,1,100,89.6,USA,Wyoming,67,3,1,The first experimental condition watched a video about masculinity and then discussed normative information about sexual assault with other participants and the active control condition watched the video and discussed masculinity and socialization,"1,4,5",1,60 minutes,0,"1,3,5",?,"1,3,5",male,,T,,pre-post,F,attitudes,-,2,-,41,-,41,-,-,-,dim,10.2800,1,16.4000,101 table 1,"this paper has an active control, but they compare pre-post. i am choosing to compare pre-post rather than to active control",,,,,,Loading...,,,,,
Paul,2010,treatment and control,acceptance of rape myths,1 month,Incorporating Social Norms into Sexual Assault Interventions: Effects on Belief and Behavior Change Among College Men,JH,0,lab,NA,4,2,3,3,19.71,1,100,89.6,USA,Wyoming,67,3,1,The first experimental condition watched a video about masculinity and then discussed normative information about sexual assault with other participants and the active control condition watched the video and discussed masculinity and socialization,"1,4,5",1,60 minutes,0,"1,3,5",?,"1,3,5",male,,T,,pre-post,F,attitudes,-,2,-,41,-,30,-,-,-,dim,-0.3700,-1,16.4000,101 table 1,"this paper has an active control, but they compare pre-post. i am choosing to compare pre-post rather than to active control",,,,,,Loading...,,,,,
Paul,2010,treatment and control,ses-past year (perpetration),0,Incorporating Social Norms into Sexual Assault Interventions: Effects on Belief and Behavior Change Among College Men,JH,0,lab,NA,4,2,3,3,19.71,1,100,89.6,USA,Wyoming,67,3,1,The first experimental condition watched a video about masculinity and then discussed normative information about sexual assault with other participants and the active control condition watched the video and discussed masculinity and socialization,"1,4,5",1,60 minutes,0,"1,3,5",?,"1,3,5",male,,T,,pre-post,F,behavior,-,2,-,36,-,35,-,-,-,dim,0.5500,1,2.8600,101 table 1,"this paper has an active control, but they compare pre-post. i am choosing to compare pre-post rather than to active control",,,,,,Loading...,,,,,
Paul,2010,treatment and control,ses-past year (perpetration),1 month,Incorporating Social Norms into Sexual Assault Interventions: Effects on Belief and Behavior Change Among College Men,JH,0,lab,NA,4,2,3,3,19.71,1,100,89.6,USA,Wyoming,67,3,1,The first experimental condition watched a video about masculinity and then discussed normative information about sexual assault with other participants and the active control condition watched the video and discussed masculinity and socialization,"1,4,5",1,60 minutes,0,"1,3,5",?,"1,3,5",male,,T,,pre-post,F,behavior,-,2,-,36,-,33,-,-,-,dim,1.6800,1,2.8600,101 table 1,"this paper has an active control, but they compare pre-post. i am choosing to compare pre-post rather than to active control",,,,,,Loading...,,,,,
Elias-Lambert,2010,Same-gender sessions,,,Middle School Youth: Satisfaction with and Responses to a Dating Violence and Sexual Assault Prevention Program,JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
Elias-Lambert,2010,Mixed-gender sessions,,,Middle School Youth: Satisfaction with and Responses to a Dating Violence and Sexual Assault Prevention Program,JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
Foubert,2010,The women's program,"Illinois Rape Myth Acceptance Scale, Short Form (IRMA-SF)",0,Effects of a Rape Awareness Program on College Women: Increasing Bystander Efficacy and Willingness to Intervene,JH,0,lab,,1,,3,3,,2,,,USA,,,,,,,,,,,,,female,20,TRUE,,rct,TRUE,attitudes,women,2,90,85,189,130,-,-,-,f.test,2.6180,1,-,823,,,,,,,Loading...,,,,,
Taylor,2010,interaction-based curriculum,,,Exploring Gender Differences in Dating Violence/Harassment Prevention Programming in Middle Schools: Results from a Randomized Experiment,JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
Taylor,2010,law and justice curriculum,,,Exploring Gender Differences in Dating Violence/Harassment Prevention Programming in Middle Schools: Results from a Randomized Experiment,JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
Donohoe,2010,education program,,,Uncovering Sexual Abuse: Evaluation of the Effectiveness of the Victims of Violence and Abuse Prevention Programme,JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
Foubert b,2010,treatment,,,First-Year Male Students' Perceptions of a Rape Prevention Program 7 Months After Their Participation: Attitude and Behavior Change,JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
Rau,2010,treatment and control,rape myth acceptance,0,Evaluation of a Sexual Assault Education/Prevention Program for Male U.S. Navy Personnel,JH,1,field,,1,,4,4,,1,,,USA,,,,,,,,,,,,,male,11,T,,rct,FALSE,attitudes,-,4,418,418,395,395,17,17,n_groups,did,-3.2000,1,8.4700,432,,,,,,,Loading...,,,,,
Sulzner,2010,Attitudes and Knowledge Condition,illinois rape myth acceptance short form,0,"A Comparison of Attitude, Knowledge, and Self-Efficacy Interventions to Increase Pre-Service Teachers' Ability to Address Sexual Assault in Schools",JH,0,lab,,4,,4,4,,3,,,USA,,,,,,,,,,,,,both,20,T,,rct,FALSE,attitudes,-,3,,15,,15,-,-,-,d,1.5900,1,1.0000,58,,,,,,,Loading...,,,,,
Sulzner,2010,"Attitudes, Knowledge, and Self-Efficacy Condition",illinois rape myth acceptance short form,0,"A Comparison of Attitude, Knowledge, and Self-Efficacy Interventions to Increase Pre-Service Teachers' Ability to Address Sexual Assault in Schools",JH,0,lab,,4,,4,4,,3,,,USA,,,,,,,,,,,,,both,20,T,,rct,FALSE,attitudes,-,3,,15,,15,-,-,-,d,2.7600,1,1.0000,58,,,,,,,Loading...,,,,,
Bowman,2010,treatment,,,Sexual Abuse Prevention: A Training Program for Developmental Disabilities Service Providers,JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
gidycz,2011,sexual assault prevention program,illinois rape myth acceptance scale - short form,122,Preventing Sexual Aggression Among College Men: An Evaluation of a Social Norms and Bystander Intervention Program,Paloma,1,field,the men's project,1,1,3,3,18.5,1,100%,91.80%,US,NA,635,1,1,"The intervention consisted in a 1.5h prevention program and a 1h booster session. Three strategies were used to promote change in men’s understanding of masculinity, consent in dating relationships, and awareness of the norms and misperceptions that foster a rape-supportive culture. The 1st strategy fosters empathy regarding sexual assault and rape by providing men with the opportunity to describe the impact of sexual assault on women in their lives and discuss alternative explanations for men’s perceptions of false accusations of assault. The discussions where also are designed to facilitate empathy by focusing on the debunking of rape myths. The second change strategy increased awareness about conditions of consent. The participants diiscussed definitions and operationalizations of consent in specific scenarios. The third strategy aimed to foster bystander intervention and resocialization. Campus-wide and participant data were presented on men’s discomfort with the inappropriate behavior and language of other men. Data on true norms among men and the sharing of personal experiences by participants served to undermine traditional conceptions of masculinity that are associated with rape proclivity (i.e., risk factors). The bystander behavior module, which includes an interactive exercise, encourages the majority of nonassaultive men to intervene in the behavior of the minority to change the campus context from one that supports coercive behavior to one that inhibits it.
Men participated in a booster session review of program material approximately 4 months following initial program participation where conditions for consent were reviewed, normative data was provided, and bystander intervention strategies were discussed. Men also discussed in small groups whether they have been able to use program content over the interim. Following this, they present the discussion topics from their small groups to the larger group.",2,1,150 minutes,1,"4,6,10",NA,"4,6,10",male,20,NA,NA,rct,TRUE,attitudes,-,2,317.5,249,317.5,204,6,6,cluster randomized,d.i.d,-3.7900,1,31.3386,page729table1,NA,,,,Roni,,Loading...,,psychology,,,
gidycz,2011,sexual assault prevention program,SES - perpetration,122,Preventing Sexual Aggression Among College Men: An Evaluation of a Social Norms and Bystander Intervention Program,Paloma,1,field,the men's project,1,1,3,3,18.5,1,100%,91.80%,USA,NA,635,1,1,"The intervention consisted in a 1.5h prevention program and a 1h booster session. Three strategies were used to promote change in men’s understanding of masculinity, consent in dating relationships, and awareness of the norms and misperceptions that foster a rape-supportive culture. The 1st strategy fosters empathy regarding sexual assault and rape by providing men with the opportunity to describe the impact of sexual assault on women in their lives and discuss alternative explanations for men’s perceptions of false accusations of assault. The discussions where also are designed to facilitate empathy by focusing on the debunking of rape myths. The second change strategy increased awareness about conditions of consent. The participants diiscussed definitions and operationalizations of consent in specific scenarios. The third strategy aimed to foster bystander intervention and resocialization. Campus-wide and participant data were presented on men’s discomfort with the inappropriate behavior and language of other men. Data on true norms among men and the sharing of personal experiences by participants served to undermine traditional conceptions of masculinity that are associated with rape proclivity (i.e., risk factors). The bystander behavior module, which includes an interactive exercise, encourages the majority of nonassaultive men to intervene in the behavior of the minority to change the campus context from one that supports coercive behavior to one that inhibits it.
Men participated in a booster session review of program material approximately 4 months following initial program participation where conditions for consent were reviewed, normative data was provided, and bystander intervention strategies were discussed. Men also discussed in small groups whether they have been able to use program content over the interim. Following this, they present the discussion topics from their small groups to the larger group.",2,1,150 minutes,1,"4,6,10",NA,"4,6,10",male,10,NA,NA,rct,TRUE,behavior,-,2,317.5,249,317.5,204,6,6,cluster randomized,d_i_p,-0.0520,1,0.2500,page 734,NA,,,,Seth,,Loading...,,,,,
